City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Balikpapan,ID,2021-05-23 21:47:40,-1.2675,116.8289,75.22,91,93,2.86
192,Chuy,UY,2021-05-23 21:44:40,-33.6971,-53.4616,53.65,89,100,24.63
193,Gazli,UZ,2021-05-23 21:49:14,40.1333,63.45,77.95,21,0,3.53
194,Pervouralsk,RU,2021-05-23 21:49:14,56.9053,59.9436,52.05,97,96,2.55
195,Nelson Bay,AU,2021-05-23 21:49:14,-32.7167,152.15,58.1,95,70,3.96
196,Kavaratti,IN,2021-05-23 21:46:35,10.5669,72.642,83.19,74,98,7.02
197,Liuzhou,CN,2021-05-23 21:49:15,24.3126,109.3892,69.66,95,100,8.25
198,Port Lincoln,AU,2021-05-23 21:49:15,-34.7333,135.8667,66.87,44,100,23.06
199,Agirish,RU,2021-05-23 21:43:58,61.9247,63.0231,52.05,67,1,5.06
200,Kieta,PG,2021-05-23 21:47:39,-6.2167,155.6333,82.56,74,100,3.62
201,Bontang,ID,2021-05-23 21:47:14,0.1333,117.5,75.81,86,84,5.12
202,Morant Bay,JM,2021-05-23 21:49:16,17.8815,-76.4093,85.62,69,90,11.86
203,Iguape,BR,2021-05-23 21:49:16,-24.7081,-47.5553,70.34,89,16,8.37
204,Avera,US,2021-05-23 21:49:16,33.194,-82.5271,91.71,39,8,5.95
205,Yar-Sale,RU,2021-05-23 21:49:17,66.8333,70.8333,46.74,68,49,15.61
206,Riyadh,SA,2021-05-23 21:49:17,24.6877,46.7219,96.94,14,0,5.75
207,Batangafo,CF,2021-05-23 21:49:17,7.3008,18.2833,76.06,75,73,5.61
208,Provideniya,RU,2021-05-23 21:44:39,64.3833,-173.3,35.71,69,90,15.66
209,Lai,TD,2021-05-23 21:49:18,9.3952,16.2989,88.66,30,59,5.3
210,Kloulklubed,PW,2021-05-23 21:48:10,7.0419,134.2556,77.5,79,100,11.03
211,Komsomolskiy,UZ,2021-05-23 21:44:12,40.4272,71.7189,72.32,46,40,11.5
212,Byron Bay,AU,2021-05-23 21:47:15,-28.65,153.6167,67.05,79,97,11.97
213,Samarai,PG,2021-05-23 21:44:36,-10.6167,150.6667,79.72,71,100,18.19
214,San Quintin,MX,2021-05-23 21:49:18,30.4833,-115.95,66.72,58,0,18.97
215,Tarko-Sale,RU,2021-05-23 21:49:19,64.9225,77.785,48.0,92,89,4.0
216,New Richmond,US,2021-05-23 21:46:10,45.123,-92.5366,76.23,72,90,8.05
217,Castro,BR,2021-05-23 21:40:05,-24.7911,-50.0119,52.34,56,2,7.16
218,Teguise,ES,2021-05-23 21:49:19,29.0605,-13.564,62.82,77,20,29.19
219,Hailey,US,2021-05-23 21:49:20,43.5196,-114.3153,51.66,54,90,9.22
220,Ribeira Grande,PT,2021-05-23 21:44:14,38.5167,-28.7,60.82,63,97,4.56
221,Ukiah,US,2021-05-23 21:47:23,39.1502,-123.2078,80.02,30,1,9.22
222,Sao Filipe,CV,2021-05-23 21:44:44,14.8961,-24.4956,73.81,75,1,12.21
223,Sorab,IN,2021-05-23 21:49:20,14.3833,75.1,72.59,95,100,5.01
