City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Miquelon,PM,47.0975,-56.3814,46.4,81,73,5.37,broken clouds
270,Rafai,CF,4.95,23.9167,86.74,50,93,2.73,overcast clouds
271,Lagoa,PT,39.05,-27.9833,63.5,74,28,9.64,scattered clouds
272,Souillac,MU,-20.5167,57.5167,75.58,83,20,7.63,few clouds
273,Naranjal,EC,-2.6667,-79.6167,76.8,83,89,2.48,overcast clouds
274,Ponta Do Sol,PT,32.6667,-17.1,71.13,76,21,4.41,few clouds
275,Fort Nelson,CA,58.8053,-122.7002,51.39,58,75,3.44,broken clouds
276,Kamenka,RU,51.3223,42.7678,65.35,91,96,13.71,overcast clouds
277,Ahipara,NZ,-35.1667,173.1667,57.45,82,95,15.41,moderate rain
278,Montepuez,MZ,-13.1256,38.9997,73.58,54,46,4.0,scattered clouds
279,Bathurst,AU,-33.4166,149.5806,42.84,95,0,2.19,clear sky
280,Miyako,JP,39.6367,141.9525,52.48,83,18,6.11,few clouds
281,Venado Tuerto,AR,-33.7456,-61.9688,58.77,33,12,5.61,few clouds
282,Haines Junction,CA,60.7522,-137.5108,48.15,57,100,1.14,overcast clouds
283,Port Lincoln,AU,-34.7333,135.8667,55.2,45,79,11.07,broken clouds
284,Canaries,ES,28.0,-15.5,71.56,53,20,11.48,few clouds
285,Sola,VU,-13.8833,167.55,75.52,89,100,11.92,overcast clouds
286,Quatre Cocos,MU,-20.2078,57.7625,75.31,76,2,6.26,clear sky
287,Vila,PT,42.0304,-8.1588,78.75,50,49,4.27,scattered clouds
288,Sisophon,KH,13.5859,102.9737,80.47,81,8,6.76,clear sky
289,Faya,SA,18.3851,42.4509,80.71,25,67,2.73,broken clouds
290,Rundu,NA,-17.9333,19.7667,70.47,19,25,2.73,scattered clouds
291,Shahreza,IR,32.0339,51.8794,84.78,9,4,5.37,clear sky
292,Odweyne,SO,9.4092,45.064,85.86,24,65,11.23,broken clouds
293,Cidreira,BR,-30.1811,-50.2056,56.98,46,0,11.43,clear sky
294,Caernarfon,GB,53.1413,-4.2702,70.72,63,0,5.75,clear sky
295,Hasaki,JP,35.7333,140.8333,63.0,79,24,10.2,few clouds
296,Dedougou,BF,12.4667,-3.4667,104.85,16,44,4.34,scattered clouds
297,Kharp,RU,66.8014,65.8081,36.45,72,85,17.43,overcast clouds
298,Acapulco,MX,16.8634,-99.8901,87.62,62,75,5.48,broken clouds
299,Riyadh,SA,24.6877,46.7219,105.94,7,0,5.75,clear sky
300,Mitsamiouli,KM,-11.3847,43.2844,79.29,76,6,9.75,light rain
301,Batagay-Alyta,RU,67.8006,130.4114,42.48,76,99,9.95,overcast clouds
302,Chapais,CA,49.7834,-74.8492,58.78,28,0,8.3,clear sky
303,Novikovo,RU,51.1537,37.8879,53.83,94,100,10.83,overcast clouds
304,Tucurui,BR,-3.7661,-49.6725,89.4,52,3,4.68,clear sky
305,Paso De Los Toros,UY,-32.8167,-56.5167,53.94,44,0,8.28,clear sky
306,Morondava,MG,-20.2833,44.2833,74.05,68,0,11.25,clear sky
307,Nemuro,JP,43.3236,145.575,41.49,92,99,15.82,overcast clouds
308,Tashtagol,RU,52.7657,87.8894,51.57,72,86,0.98,overcast clouds
309,Kozhva,RU,65.1073,57.0459,43.0,55,100,8.34,overcast clouds
310,Loreto,MX,22.2667,-101.9667,75.25,38,64,8.99,broken clouds
311,Berberati,CF,4.2612,15.7922,79.5,72,96,4.16,overcast clouds
312,Alice Springs,AU,-23.7,133.8833,44.15,53,60,5.84,broken clouds
313,Tezu,IN,27.9167,96.1667,75.81,82,19,4.12,few clouds
314,Mar Del Plata,AR,-38.0023,-57.5575,56.08,47,0,1.99,clear sky
315,Henties Bay,NA,-22.116,14.2845,57.85,82,72,10.67,broken clouds
316,Montrose,US,38.4166,-108.2673,59.72,28,62,4.79,broken clouds
317,Panaba,MX,21.2833,-88.2667,90.12,45,22,7.49,few clouds
318,Poum,NC,-20.2333,164.0167,72.34,56,61,13.71,broken clouds
319,Campeche,MX,19.0,-90.5,93.36,37,44,4.74,scattered clouds
320,Georgetown,MY,5.4112,100.3354,85.89,83,20,1.01,light rain
321,Smolyaninovo,RU,43.2956,132.4675,47.66,94,94,3.4,overcast clouds
322,Kirkland Lake,CA,48.1446,-80.0377,61.63,25,0,6.31,clear sky
323,Algiers,DZ,36.7525,3.042,73.22,64,0,12.57,clear sky
324,Lipin Bor,RU,60.2622,37.9763,48.52,49,92,5.82,overcast clouds
325,Waw,SS,7.7029,27.9953,90.18,35,49,7.2,scattered clouds
326,Nancha,CN,47.1333,129.2667,49.17,96,99,0.72,moderate rain
327,La Ronge,CA,55.1001,-105.2842,52.05,62,1,4.61,clear sky
328,Hay River,CA,60.8156,-115.7999,42.76,81,75,8.05,broken clouds
